Frame	time	opcode_ch	bits
      1187	       13.12	 W_A00D	
      1189	       13.26	 N_A00D	1571000d000025e427ac0e26495a000000003b
      1191	       13.50	 W_A011	
      1192	       13.50	 N_A00D	158a000d0000263b27cc5226a65a000000003c
      1194	       13.65	 W_A00B	00a030500a3cc85b80
      1197	       13.74	 N_A00D	15a3000d0000262f27e57626b25a000000003c
      1198	       13.74	 N_A011	195d0f00
      1199	       13.75	 W_A00F	0104010060
      1201	       13.84	 W_A010	004612b732300400
      1204	       13.94	 W_A010	014012b764000400
      1205	       13.99	 N_A00D	15bc000c0000268527fef526c95b800000003c
      1206	       13.99	 N_A011	195e0f00
      1208	       14.04	 W_A010	026690b764900400
      1211	       14.14	 W_A010	036030b8b2000400
      1213	       14.23	 N_A00D	15d5000d00002692280daa27025b800000003d
      1216	       14.33	 R_A001	0409000c067c24f200000000000000000000
      1217	       14.33	 W_A00E	
      1219	       14.43	 W_A011	00000500
      1220	       14.47	 N_A00D	15ee000d0000269e282b1127255b800000003d
      1222	       14.48	 N_A011	19600f00
      1225	       14.62	 R_A00E	0201
      1226	       14.72	 N_A00D	1607000d0000269228428b27695b800000003d
      1228	       14.77	 N_A011	19600500
      1229	       14.96	 N_A00D	1620000c000026f428605b27695b800000003d
      1230	       15.25	 N_A00D	1639000d0000270c28853027805b800000003c
      1231	       15.25	 N_A011	195d0500
      1232	       15.50	 N_A00D	1652000d0000275628a12d27d05b800000003e
      1233	       15.50	 N_A011	195e0500
      1234	       15.74	 N_A00D	166b000c0000271928b55327fd5b800000003d
      1235	       15.99	 N_A00D	1684000d0000278628d35528135b800000003d
      1236	       15.99	 N_A011	195f0500
      1237	       16.23	 N_A00D	169d000d0000276228e5bc286d5b800000003e
      1238	       16.23	 N_A011	19600500
      1239	       16.47	 N_A00D	16b6000d000027b629026c288e5b800000003e
      1240	       16.72	 N_A00D	16cf000d000027aa2916ed286d5b800000003e
      1241	       17.01	 N_A00D	16e8000d000027ce2933f928d15b800000003e
      1242	       17.01	 N_A011	19610500
      1243	       17.25	 N_A00D	1701000d000027f229484328d15b800000003f
      1244	       17.50	 N_A00D	171a000d00002822296319291f5b800000003f
      1245	       17.74	 N_A00D	1733000d0000284629888029615b800000003f
      1246	       17.98	 N_A00D	174c000d0000287529993c296c5b800000003f
      1247	       18.23	 N_A00D	1765000d0000283a29b5d229ad5b800000003f
      1248	       18.47	 N_A00D	177e000d0000288129d02229e45b8000000040
      1249	       18.72	 N_A00D	1797000e000028c829ef2a29d95b8000000040
