Frame	time	opcode_ch	bits
       879	       21.06	 W_A00D	
       881	       21.17	 N_A00D	f1df009000001764175e4f5900590000600521
       883	       21.58	 W_A011	
       885	       21.70	 N_A00D	f1f5009000001708175f7b5900590000600521
       886	       21.71	 N_A011	01fe0500
       887	       21.73	 W_A00B	00971b500a3cc85900
       890	       21.81	 W_A00F	0106010060
       892	       21.95	 W_A010	004780b299180400
       895	       22.07	 W_A010	014030b178000400
       897	       22.15	 W_A010	024090b150000400
       900	       22.25	 W_A010	036e30b0ad1d0400
       902	       22.34	 N_A00D	f20e009000001764175f5e5900590000600522
       903	       22.34	 N_A011	01ff0500
       904	       22.35	 W_A010	044e30b0ff1d0400
       907	       22.44	 W_A010	05411db0ff000400
       911	       22.63	 R_A001	0409000c067c24f200000000000000000000
       912	       22.64	 W_A00E	
       914	       22.73	 W_A011	00000500
       918	       22.92	 R_A00E	0000
       919	       22.97	 N_A00D	f227009000001764175edb5900590000600522
       920	       22.97	 N_A011	02000500
       922	       23.56	 N_A00D	f24000900000172d1760b95900590000600520
       923	       24.02	 W_A002	02
       925	       24.09	 N_A00E	0201
       926	       24.14	 N_A00D	f25600900000177617606418df590000600522
       927	       24.14	 N_A011	02010500
       929	       24.78	 N_A00D	f26f009000001776175f0118ff590000600521
       930	       25.36	 N_A00D	f28800900000170817634b18bf590000600522
       931	       25.41	 N_A011	02020500
       932	       25.99	 N_A00D	f2a100900000172d1769b818ff590000600521
       933	       26.00	 N_A011	02010500
       934	       26.63	 N_A00D	f2ba00900000175117747218df590000600522
       935	       26.63	 N_A011	01ff0500
       936	       27.12	 N_A00D	f2d3009000001788177b8718df590000600520
       937	       27.21	 N_A011	01fd0500
       938	       27.36	 N_A00D	f2ec006d0000170817879e18cf590000600521
       939	       27.41	 N_A011	01fe0500
       940	       27.65	 N_A00D	f305003e0000178817932b18df590000600521
       941	       27.90	 N_A00D	f31e004600001776179bc518ff590000600522
       942	       27.90	 N_A011	01fd0500
       943	       28.14	 N_A00D	f33700460000176417a0e518ef590000600522
       944	       28.14	 N_A011	01fe0500
       945	       28.38	 N_A00D	f35000440000176417aa2818cf590000600521
       946	       28.38	 N_A011	01fd0500
       947	       28.63	 N_A00D	f36900440000172d17b4cb190f590000600521
       948	       28.63	 N_A011	01fc0500
       949	       28.87	 N_A00D	f3820045000016e317b5ad18ef590000600521
       950	       28.87	 N_A011	01fe0500
       951	       29.12	 N_A00D	f39b00450000173f17b9a618ff590000600521
       952	       29.16	 N_A011	01fd0500
